Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Mutant 1	Peptides Mutant 2	Peptides WT	Razor + unique peptides Mutant 1	Razor + unique peptides Mutant 2	Razor + unique peptides WT	Unique peptides Mutant 1	Unique peptides Mutant 2	Unique peptides WT	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Q-value	Score	Identification type Mutant 1	Identification type Mutant 2	Identification type WT	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 Mutant 1	Reporter intensity corrected 1 Mutant 1	Reporter intensity corrected 2 Mutant 1	Reporter intensity corrected 3 Mutant 1	Reporter intensity corrected 4 Mutant 1	Reporter intensity corrected 5 Mutant 1	Reporter intensity corrected 6 Mutant 1	Reporter intensity corrected 7 Mutant 1	Reporter intensity corrected 8 Mutant 1	Reporter intensity corrected 9 Mutant 1	Reporter intensity corrected 0 Mutant 2	Reporter intensity corrected 1 Mutant 2	Reporter intensity corrected 2 Mutant 2	Reporter intensity corrected 3 Mutant 2	Reporter intensity corrected 4 Mutant 2	Reporter intensity corrected 5 Mutant 2	Reporter intensity corrected 6 Mutant 2	Reporter intensity corrected 7 Mutant 2	Reporter intensity corrected 8 Mutant 2	Reporter intensity corrected 9 Mutant 2	Reporter intensity corrected 0 WT	Reporter intensity corrected 1 WT	Reporter intensity corrected 2 WT	Reporter intensity corrected 3 WT	Reporter intensity corrected 4 WT	Reporter intensity corrected 5 WT	Reporter intensity corrected 6 WT	Reporter intensity corrected 7 WT	Reporter intensity corrected 8 WT	Reporter intensity corrected 9 WT	Reporter intensity 0 Mutant 1	Reporter intensity 1 Mutant 1	Reporter intensity 2 Mutant 1	Reporter intensity 3 Mutant 1	Reporter intensity 4 Mutant 1	Reporter intensity 5 Mutant 1	Reporter intensity 6 Mutant 1	Reporter intensity 7 Mutant 1	Reporter intensity 8 Mutant 1	Reporter intensity 9 Mutant 1	Reporter intensity 0 Mutant 2	Reporter intensity 1 Mutant 2	Reporter intensity 2 Mutant 2	Reporter intensity 3 Mutant 2	Reporter intensity 4 Mutant 2	Reporter intensity 5 Mutant 2	Reporter intensity 6 Mutant 2	Reporter intensity 7 Mutant 2	Reporter intensity 8 Mutant 2	Reporter intensity 9 Mutant 2	Reporter intensity 0 WT	Reporter intensity 1 WT	Reporter intensity 2 WT	Reporter intensity 3 WT	Reporter intensity 4 WT	Reporter intensity 5 WT	Reporter intensity 6 WT	Reporter intensity 7 WT	Reporter intensity 8 WT	Reporter intensity 9 WT	Reporter intensity count 0 Mutant 1	Reporter intensity count 1 Mutant 1	Reporter intensity count 2 Mutant 1	Reporter intensity count 3 Mutant 1	Reporter intensity count 4 Mutant 1	Reporter intensity count 5 Mutant 1	Reporter intensity count 6 Mutant 1	Reporter intensity count 7 Mutant 1	Reporter intensity count 8 Mutant 1	Reporter intensity count 9 Mutant 1	Reporter intensity count 0 Mutant 2	Reporter intensity count 1 Mutant 2	Reporter intensity count 2 Mutant 2	Reporter intensity count 3 Mutant 2	Reporter intensity count 4 Mutant 2	Reporter intensity count 5 Mutant 2	Reporter intensity count 6 Mutant 2	Reporter intensity count 7 Mutant 2	Reporter intensity count 8 Mutant 2	Reporter intensity count 9 Mutant 2	Reporter intensity count 0 WT	Reporter intensity count 1 WT	Reporter intensity count 2 WT	Reporter intensity count 3 WT	Reporter intensity count 4 WT	Reporter intensity count 5 WT	Reporter intensity count 6 WT	Reporter intensity count 7 WT	Reporter intensity count 8 WT	Reporter intensity count 9 WT	Sequence coverage Mutant 1 [%]	Sequence coverage Mutant 2 [%]	Sequence coverage WT [%]	Intensity	Intensity Mutant 1	Intensity Mutant 2	Intensity WT	iBAQ	iBAQ Mutant 1	iBAQ Mutant 2	iBAQ WT	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	HexNAc (ST) site IDs	Oxidation (M) site IDs	HexNAc (ST) site positions	Oxidation (M) site positions
A0A0B4JD11;Q9NJH0	A0A0B4JD11;Q9NJH0	2;2	2;2	2;2	Elongation factor 1-gamma	Ef1gamma	tr|A0A0B4JD11|A0A0B4JD11_DROME Ef1gamma, isoform C OS=Drosophila melanogaster OX=7227 GN=eEF1gamma PE=4 SV=1;sp|Q9NJH0|EF1G_DROME Elongation factor 1-gamma OS=Drosophila melanogaster OX=7227 GN=Ef1gamma PE=2 SV=2	2	2	2	2	1	0	2	1	0	2	1	0	2	11.6	11.6	11.6	48.967	431	431;431	1.33	2	1		0	75.122	By matching		By MS/MS	25907	18595	8322.7	3074.9	3202.3	3435.1	16405	3032.3	1224.7	3415.3	24448	17478	9353.6	4110.2	3724.3	3428.5	15649	3160.1	1852.2	3286.1	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25907	18595	8322.7	3074.9	3202.3	3435.1	16405	3032.3	1224.7	3415.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24448	17478	9353.6	4110.2	3724.3	3428.5	15649	3160.1	1852.2	3286.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	6.5	0	11.6	17879000	2665000	0	15214000	777370	115870	0	661500	2				0	151;381	True;True	169;414	615;1416;1417	499;1150	499;1150				
A0A0B4K7I3;A0A0B4K6S2	A0A0B4K7I3;A0A0B4K6S2	1;1	1;1	1;1		Dscam1	tr|A0A0B4K7I3|A0A0B4K7I3_DROME Down syndrome cell adhesion molecule 1, isoform BN OS=Drosophila melanogaster OX=7227 GN=Dscam1 PE=1 SV=1;tr|A0A0B4K6S2|A0A0B4K6S2_DROME Down syndrome cell adhesion molecule 1, isoform BV OS=Drosophila melanogaster OX=7227 GN	2	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	224.85	2036	2036;2036	2.5		1	1	0.0079365	5.529	By matching	By MS/MS		207.75	262.86	171.04	0	170.51	203.03	0	0	0	0	196.44	246.81	174.01	0	170.66	191.9	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.75	262.86	171.04	0	170.51	203.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196.44	246.81	174.01	0	170.66	191.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2327300	193450	2133800	0	23748	1973.9	21774	0	1				1	394	True	430	1478;1479	1203	1203				
A0A0B4K812;Q7KNS3	A0A0B4K812;Q7KNS3	2;2	2;2	2;2	Lissencephaly-1 homolog	Lis-1	tr|A0A0B4K812|A0A0B4K812_DROME Lissencephaly-1 homolog OS=Drosophila melanogaster OX=7227 GN=Lis-1 PE=3 SV=1;sp|Q7KNS3|LIS1_DROME Lissencephaly-1 homolog OS=Drosophila melanogaster OX=7227 GN=Lis-1 PE=1 SV=2	2	2	2	2	2	1	0	2	1	0	2	1	0	10	10	10	46.459	411	411;411	2.33		2	1	0	17.572	By MS/MS	By MS/MS		8522.1	5645	5273.7	330.12	3211.4	1778.3	3111.7	2763.4	2713.3	2030.2	8051.9	5302.4	5471.7	566.03	3378.9	1721	3161.3	2794.9	2694.1	1975.6	2	2	2	1	2	1	2	2	2	2	6814.9	3669.3	3307.4	330.12	2389.3	1778.3	1952.1	1784	1309.7	1689	1707.2	1975.7	1966.4	0	822.11	0	1159.6	979.4	1403.6	341.21	0	0	0	0	0	0	0	0	0	0	6435.5	3447.3	3519.9	566.03	2472.1	1721	1990.5	1840.2	1319.5	1631.6	1616.4	1855.1	1951.7	0	906.85	0	1170.8	954.74	1374.6	343.96	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	10	4.9	0	5876700	4202100	1674600	0	255510	182700	72810	0	2				2	211;374	True;True	235;407	853;1390;1391	706;1129	706;1129		0		123
A0A0B4K8A5;Q9W2F2	A0A0B4K8A5;Q9W2F2	1;1	1;1	1;1	Protein mahjong	mahj	tr|A0A0B4K8A5|A0A0B4K8A5_DROME Mahjong, isoform B OS=Drosophila melanogaster OX=7227 GN=mahj PE=4 SV=1;sp|Q9W2F2|DCAF1_DROME Protein mahjong OS=Drosophila melanogaster OX=7227 GN=mahj PE=1 SV=2	2	1	1	1	0	0	1	0	0	1	0	0	1	0.9	0.9	0.9	172.08	1544	1544;1544	1	1			0.0080972	5.5398			By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	1				3	375	True	408	1392	1130	1130				
O46111;A0A0B4KF46;Q8T0L3	O46111;A0A0B4KF46;Q8T0L3	1;1;1	1;1;1	1;1;1		Uba1	tr|O46111|O46111_DROME Ubiquitin activating enzyme OS=Drosophila melanogaster OX=7227 GN=Uba1 PE=2 SV=1;tr|A0A0B4KF46|A0A0B4KF46_DROME Ubiquitin activating enzyme 1, isoform C OS=Drosophila melanogaster OX=7227 GN=Uba1 PE=1 SV=1;tr|Q8T0L3|Q8T0L3_DROME GH24	3	1	1	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	111.69	1008	1008;1008;1191	2	1	1	1	0	26.137	By MS/MS	By matching	By MS/MS	18575	16304	8615.7	1715	2316.3	2303.8	6634.6	1290.8	0	1582.6	17540	15317	9179.2	2529.5	2777.3	2267	6363.6	1381.7	242.71	1520.1	2	2	2	1	2	2	2	2	0	2	6828.2	6142	2033.5	0	1017.5	466.94	283.84	300.65	0	421.62	0	0	0	0	0	0	0	0	0	0	11747	10162	6582.2	1715	1298.8	1836.9	6350.7	990.18	0	1161	6443.2	5766.4	2309.5	251.18	1081.9	439.74	316.39	320.72	0	403.96	0	0	0	0	0	0	0	0	0	0	11097	9551.1	6869.7	2278.4	1695.4	1827.3	6047.2	1061	242.71	1116.1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1.5	1.5	1.5	5511800	1777900	857510	2876400	112490	36284	17500	58701	2				4	389	True	422	1441;1442;1443	1164;1165	1164				
E8NH65;A0A0B4KFX5;A0A0B4KGG9;A4V2S3;A0A0B4KHB2;A0A0B4KFT4;A0A0B4KGZ7;O46036-2;O46036	E8NH65;A0A0B4KFX5;A0A0B4KGG9;A4V2S3;A0A0B4KHB2;A0A0B4KFT4;A0A0B4KGZ7;O46036-2;O46036	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	C-terminal-binding protein	CtBP-RE;CtBP	tr|E8NH65|E8NH65_DROME LD15041p (Fragment) OS=Drosophila melanogaster OX=7227 GN=CtBP-RE PE=2 SV=1;tr|A0A0B4KFX5|A0A0B4KFX5_DROME C-terminal binding protein, isoform I OS=Drosophila melanogaster OX=7227 GN=CtBP PE=1 SV=1;tr|A0A0B4KGG9|A0A0B4KGG9_DROME C-te	9	1	1	1	1	0	1	1	0	1	1	0	1	10.1	10.1	10.1	20.681	189	189;379;383;386;473;476;481;386;476	1.5	1	1		0	18.07	By matching		By MS/MS	20933	17088	10295	1508.6	4886.4	5738.2	39157	7606.4	1682	1995	19768	16053	10977	2567.8	5727.3	5590.1	37187	7617.4	3249.1	2054.5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20933	17088	10295	1508.6	4886.4	5738.2	39157	7606.4	1682	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19768	16053	10977	2567.8	5727.3	5590.1	37187	7617.4	3249.1	2054.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	10.1	0	10.1	25708000	6875400	0	18833000	3213500	859420	0	2354100	1				5	13	True	14	46;47	37	37				
A0A0B4KFZ9;P84040	A0A0B4KFZ9;P84040	4;4	4;4	4;4	Histone H4	His4r;His4	tr|A0A0B4KFZ9|A0A0B4KFZ9_DROME Histone H4 OS=Drosophila melanogaster OX=7227 GN=His4r PE=3 SV=1;sp|P84040|H4_DROME Histone H4 OS=Drosophila melanogaster OX=7227 GN=His4 PE=1 SV=2	2	4	4	4	2	2	4	2	2	4	2	2	4	38.8	38.8	38.8	11.381	103	103;103	1.55	7	2	2	0	146.55	By matching	By MS/MS	By MS/MS	52666	66448	46943	32328	46608	49268	44709	44947	437.95	49729	49814	62577	47590	35548	47249	48667	44389	46751	1413.4	47866	6	6	6	6	6	6	6	6	2	6	0	0	0	0	0	0	0	0	0	0	4001.6	6584.5	2767.1	1976.5	2297.9	2818.2	2052	2209.8	199.01	2781.2	48664	59864	44176	30351	44310	46450	42657	42737	238.94	46948	0	0	0	0	0	0	0	0	0	0	3781.9	6193.9	2851.1	2324.1	2354.4	2784.9	2049.9	2324	274.96	2670	46032	56383	44739	33224	44894	45882	42339	44427	1138.5	45196	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5	1	5	19.4	19.4	38.8	15070000	1066400	1261900	12741000	2511600	177730	210320	2123600	8				6	50;202;355;369	True;True;True;True	57;225;386;387;402	205;206;207;820;821;822;1311;1312;1313;1314;1370	167;672;673;1071;1072;1073;1074;1112	167;672;1071;1112		1		85
Q6NN28;A0A0B4KG06;Q8IGY1;P06754-1;P06754	Q6NN28;A0A0B4KG06;Q8IGY1;P06754-1;P06754	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Tropomyosin-1, isoforms 9A/A/B	Tm1	tr|Q6NN28|Q6NN28_DROME RE21974p OS=Drosophila melanogaster OX=7227 GN=Tm1 PE=1 SV=1;tr|A0A0B4KG06|A0A0B4KG06_DROME Tropomyosin 1, isoform S OS=Drosophila melanogaster OX=7227 GN=Tm1 PE=1 SV=1;tr|Q8IGY1|Q8IGY1_DROME RE08101p OS=Drosophila melanogaster OX=72	5	1	1	1	0	0	1	0	0	1	0	0	1	6.3	6.3	6.3	32.757	285	285;285;711;285;339	1	1			0	21.979			By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0	0	0	0	0	0	0	0	1				7	401	True	437	1500	1219	1219				
A0A0B4KGK3;Q95RA8	A0A0B4KGK3;Q95RA8	1;1	1;1	1;1	MOB kinase activator-like 1	mats	tr|A0A0B4KGK3|A0A0B4KGK3_DROME Mob as tumor suppressor, isoform B OS=Drosophila melanogaster OX=7227 GN=mats PE=4 SV=1;sp|Q95RA8|MOB1_DROME MOB kinase activator-like 1 OS=Drosophila melanogaster OX=7227 GN=mats PE=1 SV=1	2	1	1	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	25.229	219	219;219	2	1	1	1	0	7.2006	By matching	By MS/MS	By matching	336.76	1154.7	273.3	110.29	315.11	320.96	0	0	0	165.77	318.43	1084.8	278.76	180.37	312.85	308.59	0	0	0	156.09	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	336.76	1154.7	273.3	110.29	315.11	320.96	0	0	0	165.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318.43	1084.8	278.76	180.37	312.85	308.59	0	0	0	156.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3.7	3.7	3.7	2639700	310710	1856000	473020	263970	31071	185600	47302	1				8	277	True	303	1067;1068;1069	865	865		2		1
Q4AB57;A0A0B4KH25;P84051;P08985	Q4AB57;A0A0B4KH25;P84051;P08985	1;1;1;1	1;1;1;1	1;1;1;1	Histone H2A;Histone H2A.v	His2A:CG33859;His2Av;His2A	tr|Q4AB57|Q4AB57_DROME Histone H2A OS=Drosophila melanogaster OX=7227 GN=His2A:CG33859 PE=3 SV=1;tr|A0A0B4KH25|A0A0B4KH25_DROME Histone H2A OS=Drosophila melanogaster OX=7227 GN=His2Av PE=3 SV=1;sp|P84051|H2A_DROME Histone H2A OS=Drosophila melanogaster OX	4	1	1	1	0	0	1	0	0	1	0	0	1	7.3	7.3	7.3	13.364	124	124;141;124;141	1	1			0	5.9409			By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3	0	0	0	0	0	0	0	0	1				9	16	True	19	58	44	44				
